Item,Name,Type,SKU,Price,Weight,Category,Is Visible,Description,Image URL (Import),Image is Thumbnail,Image Sort Order
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221130/638706fb067d7.jpg,False,3
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221125/6380a5175df09.jpg,False,4
Product,T85舷外机,physical,T85舷外机,0.00,15,Outboard Motors; 2-Stroke,True,"<h2>T85舷外机 Specifications</h2><table cellpadding=""0"" cellspacing=""0"" width=""465""><colgroup><col style="";width:131px"" width=""130""/><col style="";width:335px"" width=""334""/></colgroup><tbody><tr height=""19"" style=""height:19px""><td height=""19"" style="""" width=""131"">型号</td><td style=""border-left: none;"" width=""335"">T85</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">产品规格选项</td><td>T85BML-D/T85BMX-D/T85BEL-D/T85BEX-D/T85FEL-T/T85FEX-T</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">艉板高度</td><td style=""border-left: none;"" width=""335"">20/25in.</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">重量</td><td>115-122kg</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">最大转速</td><td style=""border-left: none;"" width=""335"">4500～5500r/min</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">最大推杆功率</td><td style=""border-top: none; border-left: none;"" width=""335"">85HP(62.5KW)</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">怠速</td><td style=""border-top: none; border-left: none;"" width=""335"">750～850r/min</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">发动机类型</td><td style=""border-top: none; border-left: none;"" width=""335"">L3  Reed Valve</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">排量</td><td>1141cc</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">缸径*冲程</td><td style=""border-left: none;"" width=""335"">82.0×72.0mm</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">燃油进气系统</td><td style=""border-top: none; border-left: none;"" width=""335"">化油器</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">点火系统</td><td style=""border-top: none; border-left: none;"" width=""335"">CDI</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131""><span style="""">控制系统</span></td><td style=""border-top: none; border-left: none;"" width=""335"">舵柄/遥控器</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">启动系统</td><td style=""border-top: none; border-left: none;"" width=""335"">手动启动/电启动</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">档位</td><td style=""border-top: none; border-left: none;"" width=""335"">F-N-R</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">齿轮比</td><td style=""border-top: none; border-left: none;"" width=""335"">2</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">最大油耗</td><td style=""border-top: none; border-left: none;"" width=""335"">35L/h</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""""><span style="""">倾斜起翘系统</span></td><td style=""border-top: none;"" width=""335"">手动/电启动</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style="""" width=""131"">混合比（燃油：机油）</td><td style=""border-top: none; border-left: none;"" width=""335"">50：1</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">齿轮油容量</td><td style=""border-top: none; border-left: none;"" width=""335"">610cc</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">螺旋桨规格</td><td style=""border-top: none; border-left: none;"" width=""335"">3-13""   / 15"" / 17""</td></tr></tbody></table>",,,
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221125/6380b7d03ce1a.jpg,True,0
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221125/6380b7d34a55a.jpg,False,1
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221125/6380b7d60d0c7.jpg,False,2
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221130/638706fb067d7.jpg,False,3
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20230108/63bab415e47b0.jpg,False,4
Product,T75舷外机,physical,T75舷外机,0.00,15,Outboard Motors; 2-Stroke,True,"<h2>T75舷外机 Specifications</h2><table cellpadding=""0"" cellspacing=""0"" width=""465""><colgroup><col style="";width:131px"" width=""130""/><col style="";width:335px"" width=""334""/></colgroup><tbody><tr height=""19"" style=""height:19px""><td height=""19"" style="""" width=""131"">型号</td><td style=""border-left: none;"" width=""335"">T75</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">产品规格选项</td><td>T75BML-D/T75BMX-D/T75BEL-D/T75BEX-D/T75FEL-T/T75FEX-T</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">艉板高度</td><td style=""border-left: none;"" width=""335"">20/25in.</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">重量</td><td>115-122kg</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">最大转速</td><td style=""border-left: none;"" width=""335"">4500～5500r/min</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">最大推杆功率</td><td style=""border-top: none; border-left: none;"" width=""335"">75HP(55.2KW)</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">怠速</td><td style=""border-top: none; border-left: none;"" width=""335"">750～850r/min</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">发动机类型</td><td style=""border-top: none; border-left: none;"" width=""335"">L3  Reed Valve</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">排量</td><td>1141cc</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">缸径*冲程</td><td style=""border-left: none;"" width=""335"">82.0×72.0mm</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">燃油进气系统</td><td style=""border-top: none; border-left: none;"" width=""335"">化油器</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">点火系统</td><td style=""border-top: none; border-left: none;"" width=""335"">CDI</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131""><span style="""">控制系统</span></td><td style=""border-top: none; border-left: none;"" width=""335"">舵柄/遥控器</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">启动系统</td><td style=""border-top: none; border-left: none;"" width=""335"">手动启动/电启动</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">档位</td><td style=""border-top: none; border-left: none;"" width=""335"">F-N-R</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">齿轮比</td><td style=""border-top: none; border-left: none;"" width=""335"">2</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">最大油耗</td><td style=""border-top: none; border-left: none;"" width=""335"">34L/h</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""""><span style="""">倾斜起翘系统</span></td><td style=""border-top: none;"" width=""335"">手动/电启动</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style="""" width=""131"">混合比（燃油：机油）</td><td style=""border-top: none; border-left: none;"" width=""335"">50：1</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">齿轮油容量</td><td style=""border-top: none; border-left: none;"" width=""335"">610cc</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"" width=""131"">螺旋桨规格</td><td style=""border-top: none; border-left: none;"" width=""335"">3-13""   / 15"" / 17""</td></tr></tbody></table>",,,
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221125/6380b959873f3.jpg,True,0
