Item,Name,Type,SKU,Price,Weight,Category,Is Visible,Description,Image URL (Import),Image is Thumbnail,Image Sort Order
Product,F300舷外机,physical,F300舷外机,0.00,15,Outboard Motors; 4-Stroke,True,"<h2>F300舷外机 Specifications</h2><table cellpadding=""0"" cellspacing=""0"" width=""544""><colgroup><col style="";width:201px"" width=""201""/><col style="";width:343px"" width=""343""/></colgroup><tbody><tr height=""19"" style=""height:19px""><td height=""19"" style="""" width=""201"">系列</td><td style=""border-left: none;"" width=""343"">F300</td></tr><tr height=""112"" style=""height:112px""><td height=""112"" style=""border-top: none;"">型号</td><td style=""border-top: none; border-left: none;"" width=""343"">F300FEX-T-EFI<br/>     F30OFEU-T-EFI<br/>     F3OOFEE-T-EF<br/>     F300FEX-T-EFI-L<br/>     F300FEU-T-EFLL<br/>     F300FEE-T-EFI-L</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">功率(HP/KW)</td><td style=""border-top: none; border-left: none;"" width=""343"">300HP(220.6KW)</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">艉板高度(in.)</td><td style=""border-top:none;border-left:none"">25/30/35</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">发动机类型</td><td style=""border-top:none;border-left:none"">V-6(60°),DOHC</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">排量(cc)</td><td style=""border-top:none;border-left:none"">4176</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">缸径* 冲程(mm)</td><td style=""border-top:none;border-left:none"">96.0x96.0</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">点火系统</td><td style=""border-top:none;border-left:none"">TCI</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">啧油系统</td><td style=""border-top:none;border-left:none"">(Multipoint)EFI</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">最大转速(r/min)</td><td style=""border-top:none;border-left:none"">5000~6000</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">总速(r/min)</td><td style=""border-top:none;border-left:none"">600~700</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">方向系统</td><td style=""border-top:none;border-left:none"">ExtamalHydraullc   Staring Gsar/Ramote Control</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">启动方式</td><td style=""border-top:none;border-left:none"">Eloctricalstarting</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">档位</td><td style=""border-top:none;border-left:none"">F-N-R</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">齿轮比</td><td style=""border-top:none;border-left:none"">1.73:1</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">起翘系统</td><td style=""border-top:none;border-left:none"">Electric</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">油箱容量(L)</td><td style=""border-top:none;border-left:none"">/</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">最大油耗(L/h)</td><td style=""border-top:none;border-left:none"">105</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">机油容量(L)</td><td style=""border-top:none;border-left:none"">6</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">齿轮油容量(cc)</td><td style=""border-top:none;border-left:none"">1.328</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">整流器充电量</td><td style=""border-top:none;border-left:none"">12V, 55A</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">螺旋桨规格(in.)</td><td style=""border-top:none;border-left:none"">3-17</td></tr><tr height=""19"" style=""height:19px""><td height=""19"" style=""border-top: none;"">重量(kg)</td><td style=""border-top:none;border-left:none"">280</td></tr></tbody></table>",,,
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20240710/668dd25211c10.png,True,0
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221017/634cf26db3672.jpg,False,1
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221130/6386ba2f86817.jpg,False,2
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221017/634ceabb1d539.jpg,False,3
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20230108/63bab6323dea8.jpg,False,4
Product,F115 EFI 舷外机,physical,F115,0.00,15,Outboard Motors; 4-Stroke,True,"<h2>F115 EFI 舷外机 Specifications</h2><table cellpadding=""0"" cellspacing=""0""><tbody><tr><td style=""border: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""184""><br/></td><td style=""border-top: 1px solid windowtext; border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-image: initial; border-left: none; padding: 0px 7px;"" valign=""top"" width=""184""><p style=""text-align:center""><span style=""font-family:宋体"">F115BEX</span></p></td><td style=""border-top: 1px solid windowtext; border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-image: initial; border-left: none; padding: 0px 7px;"" valign=""top"" width=""185""><p style=""text-align:center""><span style=""font-family:宋体"">F115FEX</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">总长</span></p></td><td style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""184""><p style=""text-align:center""><span style=""font-family:宋体"">1554 mm (61.2in.)</span></p></td><td style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""185""><p style=""text-align:center""><span style=""font-family:宋体"">833 mm (32.8in.)</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">总宽</span></p></td><td colspan=""2"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""369""><p style=""text-align:center""><span style=""font-family:宋体"">517 mm(20.4in.)</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">总高</span> </p></td><td colspan=""2"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""369""><p style=""text-align:center""><span style=""font-family:宋体"">1799 mm</span><span style=""font-family:宋体"">（70.8in.)</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">艉板高度</span></p></td><td colspan=""2"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""369""><p style=""text-align:center""><span style=""font-family:宋体"">637 mm</span><span style=""font-family:宋体"">（25.0in.)</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">重量</span></p></td><td style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""184""><p style=""text-align:center""><span style=""font-family:宋体"">179Kg</span></p></td><td style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""185""><p style=""text-align:center""><span style=""font-family:宋体"">185Kg</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">全油门操作范围</span></p></td><td colspan=""2"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""369""><p style=""text-align:center""><span style=""font-family:宋体"">5300</span><span style=""font-family:宋体"">～6300r/min</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">最大输出功率</span></p></td><td colspan=""2"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""369""><p style=""text-align:center""><span style=""font-family:宋体"">85kW</span><span style=""font-family:宋体"">（115HP）@5600r/min</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">怠速</span></p></td><td colspan=""2"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""369""><p style=""text-align:center""><span style=""font-family:宋体"">800</span><span style=""font-family:宋体"">～900 r/min</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">发动机类型</span></p></td><td colspan=""2"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""369""><p style=""text-align:center""><span style=""font-family:宋体"">DOHC</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">气缸数</span></p></td><td colspan=""2"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""369""><p style=""text-align:center""><span style=""font-family:宋体"">4</span><span style=""font-family:宋体"">个 16阀</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">排量</span></p></td><td colspan=""2"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""369""><p style=""text-align:center""><span style=""font-family:宋体"">1832 cm</span><span style=""font-family:宋体"">³</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">缸径×冲程</span></p></td><td colspan=""2"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""369""><p style=""text-align:center""><span style=""font-family:宋体"">81.0×88.9mm (3.19×3.5in.)</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">点火系统</span></p></td><td colspan=""2"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""369""><p style=""text-align:center""><span style=""font-family:宋体"">TCI</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">控制系统</span></p></td><td style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""184""><p style=""text-align:center""><span style=""font-family:宋体"">Tiller Handle</span></p></td><td style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""185""><p style=""text-align:center""><span style=""font-family:宋体"">Remote control</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">起动系统</span></p></td><td colspan=""2"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""369""><p style=""text-align:center""><span style=""font-family:宋体"">electric start</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">换档位置</span> </p></td><td colspan=""2"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""369""><p style=""text-align:center""><span style=""font-family:宋体"">F-N-R</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">齿轮比</span></p></td><td colspan=""2"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""369""><p style=""text-align:center""><span style=""font-family:宋体"">2.15</span><span style=""font-family:宋体"">（28/13）</span></p></td></tr><tr><td height=""29"" style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">倾角倾斜系统</span></p></td><td height=""29"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""184""><p style=""text-align:center""><span style=""font-family:宋体"">Manual Hydraulic control</span></p></td><td height=""29"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""185""><p style=""text-align:center""><span style=""font-family:宋体"">Electric control</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">燃油箱容量</span></p></td><td colspan=""2"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""369""><p style=""text-align:center""><span style=""font-family:宋体"">/</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">最大燃油消耗量</span></p></td><td colspan=""2"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""369""><p style=""text-align:center""><span style=""font-family:宋体"">38.9L/H</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">发动机机油量</span>  </p></td><td colspan=""2"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""369""><p style=""text-align:center""><span style=""font-family:宋体"">3L</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">齿轮油量</span></p></td><td colspan=""2"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""369""><p style=""text-align:center""><span style=""font-family:宋体"">760cc</span></p></td></tr><tr><td style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px; word-break: break-all;"" valign=""top"" width=""184""><p><span style=""font-family:宋体"">螺旋桨规格</span></p></td><td colspan=""2"" style=""border-top: none; border-left: none; border-bottom: 1px solid windowtext; border-right: 1px solid windowtext; padding: 0px 7px;"" valign=""top"" width=""369""><p style=""text-align:center""><span style=""font-family:宋体"">3-13.25""×17""in or 3-13.5""×15""in</span></p></td></tr><tr><td colspan=""3"" style=""border-right: 1px solid windowtext; border-bottom: 1px solid windowtext; border-left: 1px solid windowtext; border-image: initial; border-top: none; padding: 0px 7px;"" valign=""top"" width=""553""><p style=""text-align:left""><span style=""font-family:宋体""> </span></p><p style=""text-align:left""><span style=""font-family:   宋体"">参数说明：</span></p><p style=""text-align:left""><span style=""font-family:宋体"">1</span><span style=""font-family:宋体"">、螺旋桨应根据船的大小及用途来选用；</span></p><p style=""text-align:left""><span style=""font-family:宋体"">2</span><span style=""font-family:宋体"">、型号说明： 首字母F=4冲程 B=后操纵、F=前操作、E=电启动、L=长轴、-T=电动蹊跷、-D=液压起翘</span></p></td></tr></tbody></table>",,,
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221017/634cf273ab6df.jpg,True,0
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221017/634cf273b7e1a.jpg,False,1
Image,,,,,,,,,https://www.parsunpower.cn/data/watermark/20221017/634cf273c222c.jpg,False,2
